Date,NDVI_avg,Num_Pixels
2021-001,0.175,4095261.0
2021-009,0.004,3443224.0
2021-017,-0.086,1053686.0
2021-025,-0.040,522577.0
2021-033,-0.075,1397282.0
2021-041,-0.203,1474881.0
2021-049,-0.265,2223017.0
2021-057,-0.258,5800649.0
2021-065,-0.256,5916344.0
2021-073,-0.224,7119087.0
2021-081,-0.239,12749292.0
2021-089,-0.201,13311105.0
2021-097,-0.154,14301972.0
2021-105,0.030,9560393.0
2021-113,0.019,10630154.0
2021-121,0.123,11433084.0
2021-129,0.187,14261034.0
2021-137,0.327,12899208.0
2021-145,0.343,10533012.0
2021-153,0.459,9931690.0
2021-161,0.476,11589766.0
2021-169,0.436,14446976.0
2021-177,0.463,13676494.0
2021-185,0.468,14460276.0
2021-193,0.415,14515154.0
2021-201,0.396,13500275.0
2021-209,0.385,13694893.0
2021-217,0.366,14184642.0
2021-225,0.325,14204864.0
2021-233,0.272,12451667.0
2021-241,0.231,12171458.0
2021-249,0.181,14448104.0
2021-257,0.134,13825069.0
2021-265,0.081,5582894.0
2021-273,0.020,14141399.0
2021-281,-0.012,13517442.0
2021-289,-0.130,12091209.0
2021-297,-0.149,13865760.0
2021-305,-0.130,12137977.0
2021-313,-0.178,11949412.0
2021-321,-0.200,10490358.0
2021-329,-0.192,6232931.0
2021-337,-0.012,3290183.0
2021-345,-0.186,660046.0
2021-353,-0.216,1600240.0
2021-361,-0.170,3553812.0
2022-001,-0.200,7717776.0
2022-009,-0.315,3754001.0
2022-017,-0.322,3056208.0
2022-025,-0.370,1069506.0
2022-033,-0.249,2997521.0
2022-041,-0.313,7277222.0
2022-049,-0.277,9910205.0
2022-057,-0.251,7574582.0
2022-065,-0.295,8495312.0
2022-073,-0.318,11873605.0
