Date,NDVI_avg,Num_Pixels
2021-001,0.589,4095261.0
2021-009,0.504,3443224.0
2021-017,0.459,1053686.0
2021-025,0.482,522577.0
2021-033,0.464,1397282.0
2021-041,0.401,1474881.0
2021-049,0.369,2223017.0
2021-057,0.373,5800649.0
2021-065,0.374,5916344.0
2021-073,0.390,7119087.0
2021-081,0.382,12749292.0
2021-089,0.401,13311105.0
2021-097,0.425,14301972.0
2021-105,0.517,9560393.0
2021-113,0.512,10630154.0
2021-121,0.563,11433084.0
2021-129,0.595,14261034.0
2021-137,0.666,12899208.0
2021-145,0.673,10533012.0
2021-153,0.732,9931690.0
2021-161,0.740,11589766.0
2021-169,0.720,14446976.0
2021-177,0.733,13676494.0
2021-185,0.736,14460276.0
2021-193,0.709,14515154.0
2021-201,0.700,13500275.0
2021-209,0.694,13694893.0
2021-217,0.685,14184642.0
2021-225,0.665,14204864.0
2021-233,0.638,12451667.0
2021-241,0.618,12171458.0
2021-249,0.593,14448104.0
2021-257,0.569,13825069.0
2021-265,0.542,5582894.0
2021-273,0.512,14141399.0
2021-281,0.496,13517442.0
2021-289,0.437,12091209.0
2021-297,0.428,13865760.0
2021-305,0.437,12137977.0
2021-313,0.413,11949412.0
2021-321,0.402,10490358.0
2021-329,0.406,6232931.0
2021-337,0.496,3290183.0
2021-345,0.409,660046.0
2021-353,0.394,1600240.0
2021-361,0.417,3553812.0
