,0,1,2,3,4,5,6
2,Truck,8.11,5.28,-34.9,8.11,5.28,-34.9
3,Rail3,14.51,11.72,-19.3,10.89,8.81,-19.1
4,Ocean,14.33,13.75,-4.1,16.08,15.58,-3.1
5,Total transportation,36.96,30.75,-16.8,35.08,29.67,-15.4
6,Farm price4,184.26,245.85,33.4,184.26,245.85,33.4
7,Landed cost,221.22,276.60,25.0,219.34,275.52,25.6
8,Transport % of landed cost,16.70,11.2,-32.8,15.99,10.9,-32.0
11,Truck,8.11,5.28,-34.9,8.11,5.28,-34.9
12,Rail3,14.51,11.72,-19.3,10.89,8.81,-19.1
13,Ocean,36.00,32.33,-10.2,37.75,34.17,-9.5
14,Total transportation,58.62,49.33,-15.8,56.75,48.26,-15.0
15,Farm price4,184.26,245.85,33.4,184.26,245.85,33.4
16,Landed cost,242.88,295.19,21.5,241.01,294.11,22.0
17,Transport % of landed cost,24.1,16.9,-30.1,23.55,16.6,-29.7
